Starting Training Loop...
[0/1][0/1583]	Loss_D: 1.2127	Loss_G: 2.8448	D(x): 0.4656	D(G(z)): 0.2527 / 0.0787
[0/1][50/1583]	Loss_D: 0.0505	Loss_G: 24.2309	D(x): 0.9732	D(G(z)): 0.0000 / 0.0000
[0/1][100/1583]	Loss_D: 0.4442	Loss_G: 6.6675	D(x): 0.7942	D(G(z)): 0.0165 / 0.0086
[0/1][150/1583]	Loss_D: 0.6026	Loss_G: 3.3147	D(x): 0.7182	D(G(z)): 0.0648 / 0.0526
[0/1][200/1583]	Loss_D: 0.3797	Loss_G: 4.1381	D(x): 0.8117	D(G(z)): 0.1023 / 0.0220
[0/1][250/1583]	Loss_D: 0.7028	Loss_G: 3.2589	D(x): 0.7332	D(G(z)): 0.2307 / 0.0612
[0/1][300/1583]	Loss_D: 0.5594	Loss_G: 2.9437	D(x): 0.8030	D(G(z)): 0.2044 / 0.0866
[0/1][350/1583]	Loss_D: 0.9469	Loss_G: 1.0720	D(x): 0.5276	D(G(z)): 0.0873 / 0.3977
[0/1][400/1583]	Loss_D: 0.1548	Loss_G: 5.5733	D(x): 0.9601	D(G(z)): 0.0892 / 0.0095
[0/1][450/1583]	Loss_D: 0.7088	Loss_G: 6.4357	D(x): 0.9159	D(G(z)): 0.4091 / 0.0029
[0/1][500/1583]	Loss_D: 0.6187	Loss_G: 3.7703	D(x): 0.7602	D(G(z)): 0.1526 / 0.0512
[0/1][550/1583]	Loss_D: 1.1609	Loss_G: 6.1595	D(x): 0.4395	D(G(z)): 0.0044 / 0.0069
[0/1][600/1583]	Loss_D: 0.3851	Loss_G: 5.0795	D(x): 0.9705	D(G(z)): 0.2779 / 0.0101
[0/1][650/1583]	Loss_D: 0.2455	Loss_G: 5.1227	D(x): 0.9170	D(G(z)): 0.1181 / 0.0118
[0/1][700/1583]	Loss_D: 0.7906	Loss_G: 6.0660	D(x): 0.8711	D(G(z)): 0.4093 / 0.0039
[0/1][750/1583]	Loss_D: 0.8923	Loss_G: 5.2954	D(x): 0.9614	D(G(z)): 0.5060 / 0.0093
[0/1][800/1583]	Loss_D: 0.9803	Loss_G: 6.2369	D(x): 0.9579	D(G(z)): 0.5058 / 0.0049
[0/1][850/1583]	Loss_D: 0.5510	Loss_G: 4.1665	D(x): 0.7025	D(G(z)): 0.0496 / 0.0368
[0/1][900/1583]	Loss_D: 0.6706	Loss_G: 6.0678	D(x): 0.9600	D(G(z)): 0.3991 / 0.0100
[0/1][950/1583]	Loss_D: 0.3436	Loss_G: 4.0132	D(x): 0.8939	D(G(z)): 0.1658 / 0.0336
[0/1][1000/1583]	Loss_D: 0.6661	Loss_G: 3.4059	D(x): 0.7804	D(G(z)): 0.2633 / 0.0606
[0/1][1050/1583]	Loss_D: 0.5953	Loss_G: 3.0190	D(x): 0.7762	D(G(z)): 0.2043 / 0.0959
[0/1][1100/1583]	Loss_D: 0.7848	Loss_G: 10.3962	D(x): 0.9476	D(G(z)): 0.4617 / 0.0001
[0/1][1150/1583]	Loss_D: 0.8315	Loss_G: 5.8704	D(x): 0.9676	D(G(z)): 0.4741 / 0.0059
[0/1][1200/1583]	Loss_D: 0.3590	Loss_G: 3.6422	D(x): 0.8568	D(G(z)): 0.1257 / 0.0395
[0/1][1250/1583]	Loss_D: 1.0879	Loss_G: 1.9291	D(x): 0.5043	D(G(z)): 0.0363 / 0.2131
[0/1][1300/1583]	Loss_D: 0.5566	Loss_G: 5.9568	D(x): 0.9289	D(G(z)): 0.3225 / 0.0069
[0/1][1350/1583]	Loss_D: 0.7000	Loss_G: 3.8236	D(x): 0.7356	D(G(z)): 0.2430 / 0.0357
[0/1][1400/1583]	Loss_D: 0.5870	Loss_G: 1.7971	D(x): 0.6472	D(G(z)): 0.0466 / 0.2244
[0/1][1450/1583]	Loss_D: 0.5599	Loss_G: 3.6826	D(x): 0.7469	D(G(z)): 0.1506 / 0.0431
[0/1][1500/1583]	Loss_D: 0.5185	Loss_G: 3.4775	D(x): 0.8094	D(G(z)): 0.2097 / 0.0528
[0/1][1550/1583]	Loss_D: 1.9010	Loss_G: 1.4853	D(x): 0.2806	D(G(z)): 0.0043 / 0.3417
