Starting Training Loop...
[0/5][0/1583]	Loss_D: 2.0215	Loss_G: 4.0865	D(x): 0.3430	D(G(z)): 0.4830 / 0.0234
[0/5][50/1583]	Loss_D: 0.1148	Loss_G: 14.2145	D(x): 0.9379	D(G(z)): 0.0000 / 0.0000
[0/5][100/1583]	Loss_D: 0.3420	Loss_G: 7.7308	D(x): 0.9170	D(G(z)): 0.1135 / 0.0012
[0/5][150/1583]	Loss_D: 0.6178	Loss_G: 7.2340	D(x): 0.9745	D(G(z)): 0.3869 / 0.0027
[0/5][200/1583]	Loss_D: 0.5694	Loss_G: 3.0743	D(x): 0.6637	D(G(z)): 0.0348 / 0.0787
[0/5][250/1583]	Loss_D: 0.2043	Loss_G: 5.0825	D(x): 0.9323	D(G(z)): 0.1102 / 0.0103
[0/5][300/1583]	Loss_D: 0.7482	Loss_G: 1.1396	D(x): 0.5974	D(G(z)): 0.1084 / 0.3776
[0/5][350/1583]	Loss_D: 1.5686	Loss_G: 11.8573	D(x): 0.9213	D(G(z)): 0.6868 / 0.0001
[0/5][400/1583]	Loss_D: 0.5016	Loss_G: 2.9763	D(x): 0.7385	D(G(z)): 0.1096 / 0.0790
[0/5][450/1583]	Loss_D: 0.4336	Loss_G: 5.3328	D(x): 0.8671	D(G(z)): 0.2151 / 0.0097
[0/5][500/1583]	Loss_D: 0.7623	Loss_G: 4.1142	D(x): 0.5927	D(G(z)): 0.0188 / 0.0302
[0/5][550/1583]	Loss_D: 0.3531	Loss_G: 4.7981	D(x): 0.8427	D(G(z)): 0.1220 / 0.0178
[0/5][600/1583]	Loss_D: 0.6439	Loss_G: 4.2747	D(x): 0.7779	D(G(z)): 0.2294 / 0.0272
[0/5][650/1583]	Loss_D: 0.5415	Loss_G: 4.2607	D(x): 0.7576	D(G(z)): 0.1308 / 0.0306
[0/5][700/1583]	Loss_D: 0.5062	Loss_G: 7.1778	D(x): 0.9513	D(G(z)): 0.3198 / 0.0016
[0/5][750/1583]	Loss_D: 0.3385	Loss_G: 4.6556	D(x): 0.8294	D(G(z)): 0.0855 / 0.0174
[0/5][800/1583]	Loss_D: 0.3204	Loss_G: 4.5647	D(x): 0.8942	D(G(z)): 0.1493 / 0.0186
[0/5][850/1583]	Loss_D: 0.8470	Loss_G: 3.9983	D(x): 0.8448	D(G(z)): 0.3922 / 0.0303
[0/5][900/1583]	Loss_D: 0.3913	Loss_G: 4.4280	D(x): 0.8162	D(G(z)): 0.1219 / 0.0292
[0/5][950/1583]	Loss_D: 1.1664	Loss_G: 2.7544	D(x): 0.4661	D(G(z)): 0.0175 / 0.1070
[0/5][1000/1583]	Loss_D: 1.3102	Loss_G: 8.0910	D(x): 0.9536	D(G(z)): 0.6323 / 0.0007
[0/5][1050/1583]	Loss_D: 0.4565	Loss_G: 5.1931	D(x): 0.8814	D(G(z)): 0.2034 / 0.0144
[0/5][1100/1583]	Loss_D: 0.3692	Loss_G: 5.2256	D(x): 0.7677	D(G(z)): 0.0344 / 0.0109
[0/5][1150/1583]	Loss_D: 0.7425	Loss_G: 7.6521	D(x): 0.9243	D(G(z)): 0.4243 / 0.0013
[0/5][1200/1583]	Loss_D: 0.5884	Loss_G: 3.5159	D(x): 0.7546	D(G(z)): 0.1932 / 0.0460
[0/5][1250/1583]	Loss_D: 0.3776	Loss_G: 3.5493	D(x): 0.8541	D(G(z)): 0.1364 / 0.0578
[0/5][1300/1583]	Loss_D: 0.7956	Loss_G: 5.0101	D(x): 0.8615	D(G(z)): 0.3953 / 0.0127
[0/5][1350/1583]	Loss_D: 0.3756	Loss_G: 3.7273	D(x): 0.8176	D(G(z)): 0.1218 / 0.0333
[0/5][1400/1583]	Loss_D: 0.4284	Loss_G: 5.3332	D(x): 0.9539	D(G(z)): 0.2590 / 0.0106
[0/5][1450/1583]	Loss_D: 0.5981	Loss_G: 2.7345	D(x): 0.6982	D(G(z)): 0.1211 / 0.1010
[0/5][1500/1583]	Loss_D: 0.4631	Loss_G: 3.0637	D(x): 0.7682	D(G(z)): 0.1050 / 0.0844
[0/5][1550/1583]	Loss_D: 0.8270	Loss_G: 5.9264	D(x): 0.9150	D(G(z)): 0.4459 / 0.0085
[1/5][0/1583]	Loss_D: 0.3950	Loss_G: 3.9237	D(x): 0.8547	D(G(z)): 0.1562 / 0.0318
[1/5][50/1583]	Loss_D: 0.6912	Loss_G: 2.5485	D(x): 0.6147	D(G(z)): 0.0477 / 0.1221
[1/5][100/1583]	Loss_D: 0.5120	Loss_G: 2.2955	D(x): 0.6904	D(G(z)): 0.0448 / 0.1413
[1/5][150/1583]	Loss_D: 0.4926	Loss_G: 2.5303	D(x): 0.7289	D(G(z)): 0.0894 / 0.1173
[1/5][200/1583]	Loss_D: 0.8077	Loss_G: 5.3117	D(x): 0.9275	D(G(z)): 0.4291 / 0.0086
[1/5][250/1583]	Loss_D: 0.4569	Loss_G: 3.2173	D(x): 0.7721	D(G(z)): 0.1175 / 0.0608
[1/5][300/1583]	Loss_D: 0.4337	Loss_G: 3.0097	D(x): 0.7419	D(G(z)): 0.0459 / 0.0838
[1/5][350/1583]	Loss_D: 0.5645	Loss_G: 2.4176	D(x): 0.6939	D(G(z)): 0.0857 / 0.1277
[1/5][400/1583]	Loss_D: 1.1467	Loss_G: 5.2341	D(x): 0.8872	D(G(z)): 0.5274 / 0.0131
[1/5][450/1583]	Loss_D: 0.4444	Loss_G: 3.5235	D(x): 0.8122	D(G(z)): 0.1472 / 0.0528
[1/5][500/1583]	Loss_D: 0.4400	Loss_G: 3.0986	D(x): 0.8046	D(G(z)): 0.1550 / 0.0696
[1/5][550/1583]	Loss_D: 0.8275	Loss_G: 2.4062	D(x): 0.5782	D(G(z)): 0.0497 / 0.1429
[1/5][600/1583]	Loss_D: 0.4022	Loss_G: 3.4983	D(x): 0.8044	D(G(z)): 0.1284 / 0.0524
[1/5][650/1583]	Loss_D: 0.8405	Loss_G: 1.6470	D(x): 0.5571	D(G(z)): 0.0249 / 0.2663
[1/5][700/1583]	Loss_D: 0.5762	Loss_G: 4.2477	D(x): 0.8413	D(G(z)): 0.2829 / 0.0223
